ADX_THRESHOLD_LONG,ADX_THRESHOLD_SHORT,ROC_THRESHOLD_LONG,ROC_THRESHOLD_SHORT,TARGET_MULTIPLIER,STOP_LOSS_ATR_MULT,MAX_HOLDING_DAYS,PARTIAL_EXIT_THRESHOLD,sharpe_oos,n_trades
30,30,0.8,1.2,2.0,2.0,7,0.05,1.3265287467986218,270
30,35,0.3,1.2,2.0,1.0,3,0.05,1.3260149558136514,345
30,35,0.8,0.5,1.2,2.0,3,0.07,1.325117292052749,276
20,30,0.8,0.5,1.5,1.0,7,0.1,1.3248793102477199,480
30,35,0.8,0.5,1.5,2.0,7,0.07,1.3245437088986853,258
30,35,0.5,1.2,1.5,1.0,3,0.07,1.3245124232276675,354
30,25,0.8,1.2,1.5,1.0,7,0.05,1.3231154906009077,366
30,35,0.8,0.8,1.5,2.0,3,0.07,1.3203719610633384,273
30,35,0.8,0.8,2.0,2.0,3,0.07,1.3203719610633384,273
30,35,0.5,1.2,1.5,1.0,3,0.1,1.3190934585794614,354
30,30,0.8,0.8,1.2,2.0,3,0.07,1.3177695404134873,291
30,30,0.8,0.8,1.5,2.0,3,0.05,1.3177053437739938,291
30,30,0.8,0.8,2.0,2.0,3,0.05,1.3177053437739938,291
20,35,0.8,0.8,1.5,1.0,7,0.07,1.3134708641507096,459
30,30,0.5,1.2,1.5,1.0,3,0.07,1.3128626723656465,372
30,35,0.5,1.2,1.5,1.0,3,0.05,1.3123753563948444,354
30,30,0.5,1.2,1.5,1.0,3,0.1,1.3114543593720038,372
30,30,0.8,0.8,1.5,2.0,7,0.07,1.3114004186124504,273
30,25,0.8,1.2,1.5,1.0,5,0.1,1.3113074809267886,369
30,30,0.8,1.2,2.0,2.0,7,0.1,1.310573884882342,270
30,35,0.3,1.2,1.5,1.0,3,0.07,1.3088777564316678,357
25,30,0.8,1.2,1.2,1.0,3,0.05,1.3088134211353182,429
30,35,0.5,1.2,2.0,1.0,3,0.07,1.307060906180907,345
30,35,0.8,0.5,2.0,2.0,3,0.05,1.3065079974380511,276
30,35,0.8,0.5,1.5,2.0,3,0.05,1.3065079974380511,276
25,30,0.8,1.2,1.2,1.0,3,0.1,1.3058781668213058,429
30,35,0.5,1.2,2.0,1.0,3,0.05,1.3052997249306912,345
30,35,0.5,1.2,1.2,1.0,3,0.1,1.304549417481545,363
30,35,0.8,0.8,1.5,2.0,7,0.05,1.3040790591385008,255
25,30,0.8,0.8,2.0,1.0,3,0.05,1.3037749597436248,408
30,35,0.3,1.2,1.5,1.0,3,0.1,1.3036427256057679,357
25,30,0.8,1.2,1.2,1.0,3,0.07,1.3033671767589532,429
25,35,0.8,1.2,1.5,1.0,3,0.1,1.3033629068334927,402
20,30,0.8,1.2,1.5,2.0,3,0.05,1.303326798901569,414
20,30,0.8,1.2,2.0,2.0,3,0.05,1.303326798901569,414
25,35,0.8,1.2,1.5,1.0,3,0.07,1.302684104835213,402
30,35,0.8,0.5,1.2,2.0,3,0.1,1.3019940119560114,276
20,35,0.8,0.8,1.5,1.0,7,0.05,1.3010879602211005,459
30,35,0.8,0.8,2.0,2.0,3,0.1,1.3001769354843513,273
30,35,0.8,0.8,1.5,2.0,3,0.1,1.3001769354843513,273
30,35,0.5,1.2,1.2,1.0,3,0.07,1.299705296912341,363
30,35,0.3,1.2,2.0,1.0,3,0.1,1.2996215646348896,345
20,35,0.8,0.5,1.5,1.0,7,0.07,1.2978448219568948,462
30,25,0.8,1.2,2.0,1.0,7,0.07,1.2974828753400496,354
30,30,0.3,1.2,1.5,1.0,3,0.07,1.297228005569647,375
20,35,0.8,1.2,2.0,1.0,7,0.05,1.2970703793871048,435
20,35,0.8,1.2,2.0,2.0,3,0.05,1.2968909201824463,396
20,35,0.8,1.2,1.5,2.0,3,0.05,1.2968909201824463,396
